Date,Open,High,Low,Close,AdjClose,Volume
2023-08-03,6800.00 ,6825.00 ,6775.00 ,6800.00 ,6800.00 ,2218200.00 
2023-08-02,6825.00 ,6850.00 ,6775.00 ,6850.00 ,6850.00 ,29463700.00 
2023-08-01,6875.00 ,6900.00 ,6800.00 ,6875.00 ,6875.00 ,29425300.00 
2023-07-31,6750.00 ,6950.00 ,6725.00 ,6850.00 ,6850.00 ,87828900.00 
2023-07-28,6500.00 ,6625.00 ,6475.00 ,6625.00 ,6625.00 ,28288300.00 
2023-07-27,6600.00 ,6600.00 ,6500.00 ,6525.00 ,6525.00 ,27816700.00 
2023-07-26,6575.00 ,6625.00 ,6500.00 ,6600.00 ,6600.00 ,38599800.00 
2023-07-25,6600.00 ,6625.00 ,6500.00 ,6500.00 ,6500.00 ,23958900.00 
2023-07-24,6400.00 ,6600.00 ,6400.00 ,6550.00 ,6550.00 ,40830500.00 
2023-07-21,6500.00 ,6525.00 ,6375.00 ,6450.00 ,6450.00 ,64037700.00 
2023-07-20,6575.00 ,6575.00 ,6450.00 ,6525.00 ,6525.00 ,64069100.00 
2023-07-18,6675.00 ,6700.00 ,6475.00 ,6575.00 ,6575.00 ,68904700.00 
2023-07-17,6750.00 ,6775.00 ,6675.00 ,6675.00 ,6675.00 ,41698600.00 
2023-07-14,6775.00 ,6825.00 ,6700.00 ,6750.00 ,6750.00 ,56060600.00 
2023-07-13,6775.00 ,6825.00 ,6750.00 ,6800.00 ,6800.00 ,31298400.00 
2023-07-12,6775.00 ,6825.00 ,6750.00 ,6775.00 ,6775.00 ,29210200.00 
2023-07-11,6775.00 ,6800.00 ,6750.00 ,6800.00 ,6800.00 ,32949200.00 
2023-07-10,6825.00 ,6825.00 ,6775.00 ,6775.00 ,6775.00 ,15301300.00 
2023-07-07,6775.00 ,6825.00 ,6750.00 ,6825.00 ,6825.00 ,28755500.00 
2023-07-06,6775.00 ,6800.00 ,6750.00 ,6800.00 ,6800.00 ,35473800.00 
2023-07-05,6775.00 ,6775.00 ,6700.00 ,6775.00 ,6775.00 ,34751800.00 
2023-07-04,6825.00 ,6825.00 ,6700.00 ,6775.00 ,6775.00 ,20047800.00 
2023-07-03,6775.00 ,6825.00 ,6750.00 ,6825.00 ,6825.00 ,37348600.00 
2023-06-27,6800.00 ,6850.00 ,6775.00 ,6775.00 ,6775.00 ,36422700.00 
2023-06-26,6800.00 ,6900.00 ,6775.00 ,6800.00 ,6800.00 ,31726400.00 
2023-06-23,6775.00 ,6825.00 ,6700.00 ,6775.00 ,6775.00 ,32156800.00 
2023-06-22,6875.00 ,6900.00 ,6775.00 ,6775.00 ,6775.00 ,51199300.00 
2023-06-21,6775.00 ,6975.00 ,6750.00 ,6925.00 ,6925.00 ,37629300.00 
2023-06-20,6825.00 ,6850.00 ,6775.00 ,6800.00 ,6800.00 ,24394300.00 
2023-06-19,6800.00 ,6875.00 ,6775.00 ,6875.00 ,6875.00 ,12514200.00 
2023-06-16,6850.00 ,6875.00 ,6775.00 ,6850.00 ,6850.00 ,63892800.00 
2023-06-15,6900.00 ,6900.00 ,6825.00 ,6875.00 ,6875.00 ,16414000.00 
2023-06-14,6750.00 ,6900.00 ,6750.00 ,6900.00 ,6900.00 ,34146100.00 
2023-06-13,6775.00 ,6825.00 ,6750.00 ,6750.00 ,6750.00 ,23911800.00 
2023-06-12,6800.00 ,6800.00 ,6675.00 ,6775.00 ,6775.00 ,37558000.00 
2023-06-09,6750.00 ,6800.00 ,6700.00 ,6800.00 ,6800.00 ,24893400.00 
2023-06-08,6725.00 ,6775.00 ,6700.00 ,6775.00 ,6775.00 ,32704900.00 
2023-06-07,6800.00 ,6850.00 ,6675.00 ,6800.00 ,6800.00 ,81991400.00 
2023-06-06,6800.00 ,6925.00 ,6750.00 ,6800.00 ,6800.00 ,65282100.00 
2023-06-05,6525.00 ,7000.00 ,6500.00 ,6825.00 ,6825.00 ,200252000.00 
2023-05-31,6500.00 ,6600.00 ,6450.00 ,6450.00 ,6450.00 ,154796300.00 
2023-05-30,6575.00 ,6600.00 ,6500.00 ,6500.00 ,6500.00 ,23340800.00 
2023-05-29,6625.00 ,6625.00 ,6475.00 ,6600.00 ,6600.00 ,27939400.00 
2023-05-26,6600.00 ,6600.00 ,6525.00 ,6600.00 ,6600.00 ,25356200.00 
2023-05-25,6700.00 ,6700.00 ,6525.00 ,6600.00 ,6600.00 ,43564900.00 
2023-05-24,6575.00 ,6675.00 ,6500.00 ,6675.00 ,6675.00 ,54136600.00 
2023-05-23,6600.00 ,6650.00 ,6550.00 ,6600.00 ,6600.00 ,49261900.00 
2023-05-22,6525.00 ,6650.00 ,6425.00 ,6600.00 ,6600.00 ,63793800.00 
2023-05-19,6400.00 ,6550.00 ,6350.00 ,6475.00 ,6475.00 ,75548600.00 
2023-05-17,6350.00 ,6350.00 ,6275.00 ,6325.00 ,6325.00 ,29480000.00 
2023-05-16,6350.00 ,6400.00 ,6250.00 ,6275.00 ,6275.00 ,19445400.00 
2023-05-15,6275.00 ,6350.00 ,6175.00 ,6350.00 ,6350.00 ,42039400.00 
2023-05-12,6225.00 ,6275.00 ,6175.00 ,6225.00 ,6225.00 ,67576500.00 
2023-05-11,6350.00 ,6350.00 ,6175.00 ,6250.00 ,6250.00 ,39596900.00 
2023-05-10,6350.00 ,6425.00 ,6300.00 ,6325.00 ,6325.00 ,52404700.00 
2023-05-09,6125.00 ,6325.00 ,6075.00 ,6325.00 ,6325.00 ,96938100.00 
2023-05-08,6150.00 ,6175.00 ,6050.00 ,6125.00 ,6125.00 ,95087500.00 
2023-05-05,6150.00 ,6150.00 ,6150.00 ,6150.00 ,6150.00 ,82270600.00 
2023-05-04,6600.00 ,6625.00 ,6550.00 ,6600.00 ,6048.00 ,132167800.00 
2023-05-03,6700.00 ,6725.00 ,6550.00 ,6625.00 ,6070.91 ,106341300.00 
2023-05-02,6775.00 ,6775.00 ,6600.00 ,6675.00 ,6116.73 ,62972600.00 
2023-04-28,6700.00 ,6750.00 ,6675.00 ,6750.00 ,6185.45 ,64976400.00 
2023-04-27,6675.00 ,6725.00 ,6625.00 ,6700.00 ,6139.64 ,45762900.00 
2023-04-26,6625.00 ,6700.00 ,6500.00 ,6700.00 ,6139.64 ,182919200.00 
2023-04-18,6275.00 ,6475.00 ,6275.00 ,6425.00 ,5887.64 ,101792500.00 
2023-04-17,6200.00 ,6275.00 ,6200.00 ,6225.00 ,5704.36 ,33965200.00 
2023-04-14,6275.00 ,6300.00 ,6200.00 ,6200.00 ,5681.45 ,45556300.00 
2023-04-13,6225.00 ,6275.00 ,6175.00 ,6250.00 ,5727.27 ,35138600.00 
2023-04-12,6150.00 ,6300.00 ,6125.00 ,6250.00 ,5727.27 ,126817700.00 
2023-04-11,5950.00 ,6100.00 ,5925.00 ,6075.00 ,5566.91 ,37545800.00 
2023-04-10,5950.00 ,5975.00 ,5875.00 ,5975.00 ,5475.27 ,40039500.00 
2023-04-06,6000.00 ,6000.00 ,5925.00 ,5925.00 ,5429.45 ,32964500.00 
2023-04-05,6025.00 ,6050.00 ,5975.00 ,6000.00 ,5498.18 ,27556300.00 
2023-04-04,6025.00 ,6050.00 ,5950.00 ,6025.00 ,5521.09 ,35612700.00 
2023-04-03,6050.00 ,6100.00 ,5975.00 ,6000.00 ,5498.18 ,44636200.00 
2023-03-31,5950.00 ,6025.00 ,5925.00 ,6000.00 ,5498.18 ,40364100.00 
2023-03-30,5975.00 ,5975.00 ,5900.00 ,5900.00 ,5406.55 ,40174400.00 
2023-03-29,5850.00 ,6050.00 ,5850.00 ,5950.00 ,5452.36 ,81945000.00 
2023-03-28,5900.00 ,5925.00 ,5850.00 ,5850.00 ,5360.73 ,42944400.00 
